Promedio,Máximo,Frecuencia del Máximo,Combinación
6.333333333333333,9.0,3.0,"A, D, E, W"
9.0,13.0,1.0,"A, D, E, X"
9.0,13.0,1.0,"A, D, E, Y"
7.666666666666667,11.0,1.0,"A, D, E, Z"
9.333333333333334,13.0,1.0,"A, D, F, G"
9.333333333333334,15.0,1.0,"A, D, F, H"
6.0,13.0,1.0,"A, D, F, I"
7.666666666666667,13.0,1.0,"A, D, F, J"
7.666666666666667,13.0,1.0,"A, D, F, K"
8.0,13.0,2.0,"A, D, F, L"
6.666666666666667,13.0,1.0,"A, D, F, M"
6.666666666666667,13.0,1.0,"A, D, F, N"
